id;group;subject;gender;age;study_years;marital_status;schooling_level;family_type;socioeconomic_status;children_quantity;sibling_quantity;gangster;spa_use;drink_alcohol;weed;cocaine
1005;SG;1;m;19;11;soltero;básica secundaria;monoparental madre;1;0;0;0;0;1;1;1
1009;SG;1;m;18;11;soltero;básica secundaria;reconstituida;1;0;0;1;1;1;1;1
1013;SG;1;m;17;6;soltero;básica secundaria;extensa;1;0;0;0;0;0;1;1
1017;SG;1;m;19;10;soltero;básica secundaria;monoparental madre;1;0;0;1;1;1;1;0
1018;SG;1;m;19;11;soltero;básica secundaria;nuclear;2;0;0;0;0;0;0;0
1020;SG;1;m;18;11;soltero;básica secundaria;monoparental madre;2;0;0;0;1;1;0;0
1021;SG;1;m;18;12;soltero;básica secundaria;reconstituida;1;0;0;1;1;1;1;1
1027;SG;1;m;18;5;soltero;básica primaria;reconstituida;1;0;0;0;0;0;0;0
1028;SG;1;m;19;12;soltero;básica secundaria;nuclear;1;0;0;1;1;1;1;1
1029;SG;1;m;17;8;soltero;básica secundaria;extensa;1;0;0;1;1;1;0;0
1030;SG;1;m;18;12;soltero;básica secundaria;reconstituida;1;0;0;0;1;1;1;1
1032;SG;1;m;18;12;soltero;básica secundaria;reconstituida;1;0;0;0;0;0;0;0
1033;SG;1;m;17;6;soltero;básica secundaria;extensa;1;0;0;0;1;1;1;0
1035;SG;1;m;17;6;soltero;básica secundaria;reconstituida;1;0;0;0;1;0;1;1
1037;SG;1;m;18;8;soltero;básica secundaria;reconstituida;1;0;0;0;0;0;0;0
1038;SG;1;m;19;11;soltero;básica secundaria;extensa;1;0;0;0;1;0;1;1
1039;SG;1;m;16;11;soltero;básica secundaria;reconstituida;1;0;0;0;0;0;0;0
1040;SG;1;m;19;8;soltero;básica secundaria;reconstituida;1;0;0;0;1;0;1;1
1041;SG;1;m;15;8;soltero;básica secundaria;nuclear;2;0;0;1;1;1;1;1
1042;SG;1;m;18;7;soltero;básica secundaria;nuclear;1;0;0;1;1;0;1;1
1043;SG;1;m;18;8;soltero;básica secundaria;monoparental madre;1;0;0;1;1;1;1;1
1044;SG;1;m;17;8;soltero;básica secundaria;monoparental madre;1;0;0;0;1;1;1;1
1045;SG;1;m;18;5;soltero;básica primaria;extensa;1;0;0;1;1;0;1;1
1046;SG;1;m;18;12;soltero;básica secundaria;nuclear;2;0;0;1;1;1;1;1
1047;SG;1;m;18;5;soltero;básica primaria;nuclear;1;0;0;1;1;0;1;1
1048;SG;1;m;17;10;soltero;básica secundaria;nuclear;1;0;0;1;1;1;1;1
1050;SG;1;m;17;4;soltero;básica primaria;reconstituida;1;0;0;0;1;0;1;1
